time,dir,queue,vehicles,mean_speed
950.0,N,0,1,25.189955311881256
950.0,E,0,3,10.485981443705006
950.0,S,1,5,14.109600005997494
951.0,W,1,8,6.136674767595817
951.0,N,0,1,24.064955311881256
951.0,E,0,3,10.86731677194313
951.0,S,1,5,14.483256870475667
952.0,W,1,8,6.7257655180693074
952.0,N,0,2,21.338974163990443
952.0,E,0,4,10.069867891567824
952.0,S,1,6,14.217214128874996
953.0,W,1,8,7.483926662938854
953.0,N,0,2,20.594044804803033
953.0,E,0,4,10.73449108261121
953.0,S,1,6,14.510015438477161
954.0,W,1,10,10.001454503998009
954.0,N,0,2,18.55949980213767
954.0,E,0,5,10.6601217118397
954.0,S,1,7,14.087901966505337
955.0,W,1,9,9.377915598082579
955.0,N,0,3,12.473358643906629
955.0,E,1,5,10.827752719097195
955.0,S,1,7,13.977736169691957
956.0,W,1,9,7.353626950474144
956.0,N,1,3,12.617469792269832
956.0,E,2,5,10.609848125473402
956.0,S,1,7,13.795468787693698
957.0,W,1,9,6.277300782159884
957.0,N,1,3,12.085951697400528
957.0,E,2,5,10.53440342729829
957.0,S,1,8,10.990967901610851
958.0,W,2,6,6.842267174251349
958.0,N,1,2,17.13624319799166
958.0,E,2,6,9.716933084185161
958.0,S,2,8,11.370702780807477
959.0,W,2,7,7.282627644143098
959.0,N,1,2,17.620486443030487
959.0,E,2,6,10.130997778641808
959.0,S,2,8,11.544736127676327
960.0,W,2,7,8.121701552691727
960.0,N,1,3,15.742009764223493
960.0,E,2,6,9.534591037367893
960.0,S,3,9,11.291776009234745
961.0,W,2,6,7.844142370958371
961.0,N,1,2,16.499043993064447
961.0,E,2,6,9.857197813776658
961.0,S,3,9,11.31484717086099
962.0,W,2,6,7.563087214005083
962.0,N,1,3,18.090761990169156
962.0,E,2,8,8.883454527895553
962.0,S,3,11,8.51458740010518
963.0,W,2,4,8.204569213405604
963.0,N,1,4,18.51156623787866
963.0,E,2,8,9.43696946988884
963.0,S,3,11,9.811533764492275
964.0,W,2,4,7.369790626458558
964.0,N,1,4,18.448416577132686
964.0,E,2,7,9.805921200183187
964.0,S,4,11,9.928585961342305
965.0,W,2,4,7.17999976051834
965.0,N,1,4,17.773494289644532
965.0,E,2,7,9.638310743893674
965.0,S,5,11,10.35604905835807
966.0,W,2,2,11.113333333333335
966.0,N,1,4,15.025353471450709
966.0,E,2,8,10.702752689489305
966.0,S,5,11,10.270431773330245
967.0,W,2,3,10.121926309618663
967.0,N,1,4,14.709851890079218
967.0,E,2,9,10.841581836688366
967.0,S,5,11,9.8060660879738
968.0,W,2,3,10.315857723834721
968.0,N,1,6,8.514507487293889
968.0,E,2,9,11.768992016375453
968.0,S,5,11,9.539380067557728
969.0,W,2,4,9.636394547993179
969.0,N,1,6,10.12595312931677
969.0,E,2,10,11.873261327665809
969.0,S,6,11,9.373718448025683
970.0,W,2,4,10.001499431017596
970.0,N,1,6,10.753955237750368
970.0,E,2,11,11.259931239598437
970.0,S,7,11,9.339626369909
971.0,W,2,5,10.1624205683501
971.0,N,2,5,12.698743210193188
971.0,E,2,11,10.545889986089012
971.0,S,7,11,8.748378103168305
972.0,W,2,6,10.17273563063972
972.0,N,3,5,12.499230849139341
972.0,E,3,10,9.74614758386624
972.0,S,7,12,8.02536922459236
973.0,W,2,6,10.360880413829202
973.0,N,3,5,12.551939402593536
973.0,E,2,8,9.635588079193635
973.0,S,7,11,9.442554340774794
974.0,W,2,6,10.28855249239679
974.0,N,3,4,14.050927123005255
974.0,E,2,8,9.011144665628466
974.0,S,7,11,8.973464322911012
975.0,W,2,7,9.612639106343735
975.0,N,3,5,15.925784013364591
975.0,E,2,8,8.458293295329652
975.0,S,7,11,8.864660629161905
976.0,W,2,7,9.508249593441029
976.0,N,3,5,15.941420290857634
976.0,E,2,7,8.086383730569274
976.0,S,8,11,8.010149155513666
977.0,W,2,7,8.538129158851849
977.0,N,4,6,16.97719356969647
977.0,E,3,7,7.286786884151825
977.0,S,9,11,6.846132716900207
978.0,W,2,6,9.68504214714358
978.0,N,4,7,11.595047337183363
978.0,E,3,7,3.76309171619367
978.0,S,9,10,9.045200005695706
979.0,W,2,5,9.791131587712549
979.0,N,4,7,11.367749827852938
979.0,E,1,8,5.07803575937252
979.0,S,9,10,8.990070096925347
980.0,W,2,5,9.65424483972814
980.0,N,4,7,11.123895650500668
980.0,E,1,7,8.769471048705084
980.0,S,9,10,9.006090313707025
981.0,W,2,4,10.332005745019645
981.0,N,4,7,11.030306957020157
981.0,E,2,8,8.135586559120112
981.0,S,9,10,9.02911888612166
982.0,W,2,3,10.75877714638731
982.0,N,4,7,11.231004800369485
982.0,E,3,8,7.989188860227451
982.0,S,7,10,9.049723070487442
983.0,W,2,3,10.641522427045437
983.0,N,5,7,11.504850141196593
983.0,E,3,8,7.428574394762121
983.0,S,6,10,9.056355009922527
984.0,W,2,4,10.321884004288611
984.0,N,5,6,13.89891902111585
984.0,E,4,8,7.352887800007769
984.0,S,5,10,8.954374183504537
985.0,W,2,4,9.633561839516455
985.0,N,6,6,13.894093717733156
985.0,E,5,8,7.0388627323257555
985.0,S,5,10,8.774207557240368
986.0,W,2,5,9.074987952108028
986.0,N,6,6,13.890992753867815
986.0,E,5,8,6.62864915956174
986.0,S,6,10,8.59623297192138
987.0,W,1,6,7.094210251368715
987.0,N,6,6,13.890339118750845
987.0,E,5,8,6.100322364248295
987.0,S,7,10,8.375646481383413
988.0,W,0,6,7.006773354551251
988.0,N,6,6,13.890220625170722
988.0,E,5,8,5.5772695841497555
988.0,S,9,11,8.763377612395882
989.0,W,1,5,7.654929423265146
989.0,N,6,6,13.89001045556361
989.0,E,6,8,4.9458425642059325
989.0,S,9,11,8.817537224926241
990.0,W,1,5,7.174080666786514
990.0,N,6,6,13.89
990.0,E,6,8,4.59376612036408
990.0,S,9,11,8.8814785090702
991.0,W,0,4,8.232716168310471
991.0,N,6,6,13.89
991.0,E,5,7,8.536965003443436
991.0,S,10,11,8.993860064913086
992.0,W,0,4,8.074553724784158
992.0,N,4,8,9.788644329974026
992.0,E,6,8,8.683452605109458
992.0,S,10,12,9.324663497738666
993.0,W,0,4,8.953867359145995
993.0,N,2,7,10.243712716399159
993.0,E,6,8,8.783380281225806
993.0,S,9,12,9.48569729116135
994.0,W,0,4,9.173926165272848
994.0,N,1,7,10.47214992494834
994.0,E,5,6,10.161742782653628
994.0,S,8,12,9.598124663734147
995.0,W,0,3,10.25151958997022
995.0,N,2,7,10.89777480749025
995.0,E,4,7,10.558783833505615
995.0,S,7,11,9.80511718572927
996.0,W,1,3,9.67879664156066
996.0,N,3,6,11.077857542780821
996.0,E,3,7,11.023651238252373
996.0,S,5,12,8.579942275112419
997.0,W,1,3,9.203148492719212
997.0,N,2,6,11.896401454594132
997.0,E,2,7,10.927616321963226
997.0,S,4,11,9.2042127797899
998.0,W,1,3,9.030336348663035
998.0,N,1,6,10.80639874243645
998.0,E,1,7,12.128864524418496
998.0,S,3,12,9.18622371442985
999.0,W,1,3,8.130593272129932
999.0,N,0,4,12.045017539095902
999.0,E,0,7,12.077714987452724
999.0,S,1,12,9.991367539141432
1000.0,W,1,4,5.59739478833018
1000.0,N,0,4,12.92249418889177
1000.0,E,0,8,12.296080901507612
1000.0,S,0,12,9.453777336403189
1001.0,W,1,3,6.930568078306387
1001.0,N,0,3,15.140455135200277
1001.0,E,0,8,12.105917497546333
1001.0,S,0,11,10.644153764598512
1002.0,W,2,4,7.578871654527346
1002.0,N,0,3,16.271234408496053
1002.0,E,0,7,12.266437862294875
1002.0,S,0,13,10.361360190321435
1003.0,W,2,4,8.55384160788295
1003.0,N,0,1,24.568433125735943
1003.0,E,0,8,12.33715914351754
1003.0,S,0,12,10.710573672968007
1004.0,W,2,4,9.23528676563075
1004.0,N,0,2,23.403268216116764
1004.0,E,0,8,12.290443071043795
1004.0,S,0,13,10.462443065614586
1005.0,W,2,5,8.619676883485221
1005.0,N,0,3,22.531776059597718
1005.0,E,0,8,12.547803802520603
1005.0,S,0,12,10.635545198723431
1006.0,W,2,5,9.921724822208564
1006.0,N,0,2,23.384808609891007
1006.0,E,0,10,11.733330461023122
1006.0,S,0,12,10.592169934447668
1007.0,W,2,5,10.745761298523597
1007.0,N,0,2,23.177940359338375
1007.0,E,0,8,12.075778114625198
1007.0,S,0,12,9.934277236945077
1008.0,W,2,5,10.87095076626445
1008.0,N,0,2,21.8226728522532
1008.0,E,0,8,11.907745292847952
1008.0,S,0,10,11.063173064164749
1009.0,W,2,6,8.433792997251805
1009.0,N,0,2,19.113442708171426
1009.0,E,0,7,12.9919965543566
1009.0,S,0,10,10.400343339642683
1010.0,W,2,6,6.1379819091223276
1010.0,N,0,2,18.35133634893362
1010.0,E,0,8,12.85171885817929
1010.0,S,0,8,11.28938910295396
1011.0,W,3,6,5.168667391658418
1011.0,N,0,3,20.283305061647628
1011.0,E,0,8,12.196891468186692
1011.0,S,0,7,11.419970643270121
1012.0,W,3,5,8.956447681004667
1012.0,N,0,4,20.694222996564513
1012.0,E,0,7,13.594357529268397
1012.0,S,0,7,11.167333398656487
1013.0,W,3,5,8.768762869909473
1013.0,N,0,4,21.52468774614694
1013.0,E,0,7,12.288585545774723
1013.0,S,0,6,11.519996230500983
1014.0,W,3,4,8.41319053969358
1014.0,N,0,4,22.188553975286133
1014.0,E,0,8,11.94642836988508
1014.0,S,0,6,11.473456493933085
1015.0,W,3,5,9.811753394234074
1015.0,N,0,4,21.21417836768872
1015.0,E,1,8,11.237925963741672
1015.0,S,0,6,10.609126281457032
1016.0,W,3,6,10.936432252145938
1016.0,N,0,2,22.98872716505521
1016.0,E,3,9,11.238430454982975
1016.0,S,0,5,10.210872733959885
1017.0,W,4,7,9.08495211668194
1017.0,N,0,1,23.26566404272403
1017.0,E,4,9,10.32206985925011
1017.0,S,0,3,12.476666103283756
1018.0,W,4,7,8.955998146817425
1018.0,N,0,1,23.84522159480789
1018.0,E,4,8,11.084284196632506
1018.0,S,0,3,11.87576763534765
1019.0,W,4,7,8.807479006290082
1019.0,N,0,1,24.47126408884019
1019.0,E,5,8,10.706967049778186
1019.0,S,0,2,13.953129631340923
1020.0,W,4,8,7.325921318520535
1020.0,N,0,1,25.044333101057646
1020.0,E,5,8,10.33460332819888
1020.0,S,0,1,16.77230528830322
1021.0,W,5,9,7.689413060135838
1021.0,N,0,1,25.464434997102444
1021.0,E,5,9,10.935831045820112
1021.0,S,0,1,16.917435473381815
1022.0,W,6,11,6.996540199399526
1022.0,N,0,0,27.78
1022.0,E,5,9,10.74245038205927
1022.0,S,0,1,17.056156325064407
1023.0,W,6,11,6.565287863504997
1023.0,N,0,0,27.78
1023.0,E,6,9,10.464457326823856
1023.0,S,0,1,16.965648896308892
1024.0,W,7,11,5.703706252816903
1024.0,N,0,0,27.78
1024.0,E,6,10,11.068253263559932
1024.0,S,0,1,16.832548682069216
1025.0,W,6,13,5.806092805849575
1025.0,N,0,0,27.78
1025.0,E,6,10,10.62676038500678
1025.0,S,0,1,16.852976289622063
1026.0,W,6,12,5.61675431222648
1026.0,N,0,0,27.78
1026.0,E,6,10,10.343686717001603
1026.0,S,0,0,16.67
1027.0,W,6,11,7.717023336527867
1027.0,N,0,0,27.78
1027.0,E,6,10,9.829349954877461
1027.0,S,0,0,16.67
1028.0,W,8,10,8.212692647307952
1028.0,N,0,0,27.78
1028.0,E,7,10,9.527065121675136
1028.0,S,0,0,16.67
1029.0,W,8,10,7.702828658727429
1029.0,N,0,0,27.78
1029.0,E,7,10,9.227505600961482
1029.0,S,0,0,16.67
1030.0,W,8,9,8.580654322583877
1030.0,N,0,0,27.78
1030.0,E,9,10,9.098773852401425
1030.0,S,0,0,16.67
1031.0,W,8,9,8.423017116943225
1031.0,N,0,0,27.78
1031.0,E,9,11,9.559403769618074
1031.0,S,0,0,16.67
1032.0,W,8,9,8.347225931796032
1032.0,N,0,0,27.78
1032.0,E,9,11,9.368827219984517
1032.0,S,0,0,16.67
1033.0,W,8,9,8.341483591787757
1033.0,N,0,0,27.78
1033.0,E,9,11,9.188104626899968
1033.0,S,0,0,16.67
1034.0,W,9,9,8.336836208186776
1034.0,N,0,0,27.78
1034.0,E,9,11,9.059742682982039
1034.0,S,0,0,16.67
1035.0,W,9,9,8.335742328905262
1035.0,N,0,0,27.78
1035.0,E,10,11,9.033715440423276
1035.0,S,0,0,16.67
1036.0,W,9,10,8.964684724590624
1036.0,N,0,0,27.78
1036.0,E,10,11,9.04921882132806
1036.0,S,0,0,16.67
1037.0,W,9,10,8.968043651860688
1037.0,N,0,0,27.78
1037.0,E,8,11,9.127477506413971
1037.0,S,0,0,16.67
1038.0,W,7,10,9.047563752471138
1038.0,N,0,0,27.78
1038.0,E,6,9,9.017759732802128
1038.0,S,0,0,16.67
1039.0,W,5,10,8.96374018154681
1039.0,N,0,1,22.928549742911894
1039.0,E,4,9,9.08774274834197
1039.0,S,0,0,16.67
1040.0,W,3,9,8.812572513390807
1040.0,N,0,1,23.28140835271119
1040.0,E,2,10,7.223790999051747
1040.0,S,0,0,16.67
1041.0,W,2,9,8.888267200683085
1041.0,N,0,1,23.748419206261353
1041.0,E,1,9,7.798879499879167
1041.0,S,0,0,16.67
1042.0,W,0,9,9.14517971724894
1042.0,N,0,1,24.075489850677734
1042.0,E,1,10,7.799963481795985
1042.0,S,0,0,16.67
1043.0,W,1,9,8.059247052242181
1043.0,N,0,1,24.535740650635166
1043.0,E,1,9,8.31687456006773
1043.0,S,0,0,16.67
1044.0,W,0,8,8.567766089805033
1044.0,N,0,2,22.53380607606671
1044.0,E,1,9,8.415592027415947
1044.0,S,0,0,16.67
1045.0,W,0,7,8.46388921217594
1045.0,N,0,2,18.182466956067366
1045.0,E,2,10,8.63249742634729
1045.0,S,0,0,16.67
1046.0,W,0,7,8.906779884567356
1046.0,N,0,2,19.114053750151072
1046.0,E,3,9,8.814815193585229
1046.0,S,0,0,16.67
1047.0,W,0,6,8.788518018243145
1047.0,N,0,2,21.870618086208296
1047.0,E,3,10,8.88288688093381
1047.0,S,0,0,16.67
1048.0,W,0,5,11.70566540740412
1048.0,N,0,2,22.5065675989967
1048.0,E,3,10,8.55452614034531
1048.0,S,0,0,16.67
1049.0,W,0,4,11.942060666898605
1049.0,N,0,2,23.06210394001195
1049.0,E,3,10,8.846701480265857
1049.0,S,0,0,16.67
1050.0,W,0,5,11.928726863826679
1050.0,N,0,1,24.286028866697563
1050.0,E,3,10,8.482555443715635
1050.0,S,0,0,16.67
1051.0,W,0,5,12.165888324743792
1051.0,N,0,1,24.66759684379864
1051.0,E,3,10,8.527050187202565
1051.0,S,0,0,16.67
1052.0,W,0,5,10.92783884874665
1052.0,N,0,1,25.98481194868599
1052.0,E,3,10,8.113139620838137
1052.0,S,0,0,16.67
1053.0,W,0,5,10.496201038899407
1053.0,N,0,1,26.409260263623754
1053.0,E,2,8,7.706362929511783
1053.0,S,0,0,16.67
1054.0,W,0,5,9.98258101757136
1054.0,N,0,2,20.57869398341456
1054.0,E,0,8,8.359237948471517
1054.0,S,0,0,16.67
1055.0,W,0,3,11.856218216446512
